spec,n_eff,insurance_status,estimate,std.error,conf.low,conf.high,p.value
Reference (full positive),15155,Private,2723.170733161586,336.0377710799935,2064.548804399684,3381.7926619234886,5.328449695223723e-16
Reference (full positive),15155,Medicare/Other Public,2122.9712894442064,377.4113983177541,1383.2585413865077,2862.684037501905,1.854163842176526e-8
Reference (full positive),15155,Medicaid/Public Only,4930.962743552451,826.9622971271282,3310.146424610769,6551.779062494133,2.4804004518338073e-9
Reference (full positive),15155,Uninsured,676.7781806366722,428.68918607900184,-163.43718463996072,1516.9935459133053,0.11440137188385266
Excluding p99+,14949,Private,2116.6696499500927,176.062693384305,1771.5931118957365,2461.746188004449,2.7147818755750475e-33
Excluding p99+,14949,Medicare/Other Public,1735.2690507951309,255.85341568286896,1233.8055707351523,2236.7325308551094,1.1829537177338365e-11
Excluding p99+,14949,Medicaid/Public Only,3689.259096159057,510.81323314414595,2688.0835563700693,4690.434635948045,5.110621601074938e-13
Excluding p99+,14949,Uninsured,961.7239076138756,321.65916067739954,331.28353738879025,1592.164277838961,0.0027908247402673816
