spec,n_eff,insurance_status,estimate,std.error,conf.low,conf.high,p.value
top5 (p95),17582,Private,0.013939178941808522,0.0021098178497045692,0.009804011942447826,0.018074345941169218,3.926728101996127e-11
top5 (p95),17582,Medicare/Other Public,0.0106574927930427,0.003337122858316962,0.004116852178756095,0.017198133407329307,0.0014050231608966437
top5 (p95),17582,Medicaid/Public Only,0.012769448046340141,0.004561242422607027,0.0038295771732741457,0.021709318919406136,0.005117313222989422
top5 (p95),17582,Uninsured,0.006162008781232885,0.0021323620253841874,0.001982656009478994,0.010341361552986775,0.003855393236563809
top10 (p90),17582,Private,0.03202517175694006,0.003055357672476537,0.02603678075899792,0.03801356275488219,1.0490395908580574e-25
top10 (p90),17582,Medicare/Other Public,0.03389489791730635,0.005610471898026836,0.022898575060899675,0.04489122077371302,1.5281763560593057e-9
top10 (p90),17582,Medicaid/Public Only,0.03575402025836564,0.006860371647568737,0.022307938908571204,0.049200101608160074,1.8714424193692696e-7
top10 (p90),17582,Uninsured,0.011836527602808445,0.003534916284484572,0.004908218996854541,0.018764836208762348,8.126185916139293e-4
"> $15,000",17582,Private,0.04156575964883831,0.0032839283632110157,0.03512937832913515,0.04800214096854147,1.0190873716669856e-36
"> $15,000",17582,Medicare/Other Public,0.038309619996082914,0.006289337490810411,0.025982745027476998,0.05063649496468883,1.1206660529186913e-9
"> $15,000",17582,Medicaid/Public Only,0.05878447132911999,0.006377934153926855,0.04628395009165542,0.07128499256658456,3.0595211790412817e-20
"> $15,000",17582,Uninsured,0.013297270323305436,0.0041365363524166286,0.005189808051828162,0.021404732594782712,0.0013063074490359571
"> $50,000",17582,Private,0.006345692632937613,0.0018216527810491375,0.0027753187897440754,0.00991606647613115,4.949384727393059e-4
"> $50,000",17582,Medicare/Other Public,0.005237633968925828,0.002754598761288323,-1.612803950579297e-4,0.010636548332909584,0.057247744502145106
"> $50,000",17582,Medicaid/Public Only,0.010472533650455447,0.003463833774138426,0.0036835442047106854,0.01726152309620021,0.0024995672105748404
"> $50,000",17582,Uninsured,0.0034122225158247583,0.0015579812429126092,3.586353911270955e-4,0.006465809640522421,0.02851289951416153
